instance,logfile,time,iters,lb
InstanzVNS_HCSRP_100_5.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_5.log,1.02,551,2.5290417333e+02
InstanzCPLEX_HCSRP_75_7.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_7.log,0.45,338,2.2591795437e+02
InstanzCPLEX_HCSRP_10_9.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_9.log,0.00,14,9.1013623267e+01
InstanzCPLEX_HCSRP_25_7.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_7.log,0.01,127,1.5856458377e+02
InstanzCPLEX_HCSRP_10_10.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_10.log,0.00,23,1.3743173953e+02
InstanzVNS_HCSRP_300_10.txt,logs-cplex-lp/InstanzVNS_HCSRP_300_10.log,83.35,1670,4.4140920742e+02
InstanzVNS_HCSRP_200_7.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_7.log,16.80,1021,3.5375588333e+02
InstanzCPLEX_HCSRP_10_3.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_10_3.log,0.00,47,1.2731225490e+02
InstanzCPLEX_HCSRP_75_5.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_5.log,0.34,326,2.6327406120e+02
InstanzVNS_HCSRP_100_1.txt,logs-cplex-lp/InstanzVNS_HCSRP_100_1.log,1.02,654,2.8104180594e+02
InstanzCPLEX_HCSRP_25_4.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_25_4.log,0.01,132,1.8053309422e+02
InstanzCPLEX_HCSRP_50_6.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_50_6.log,0.07,145,1.9655135770e+02
InstanzVNS_HCSRP_200_9.txt,logs-cplex-lp/InstanzVNS_HCSRP_200_9.log,13.49,1058,3.7473894000e+02
InstanzCPLEX_HCSRP_75_2.txt,logs-cplex-lp/InstanzCPLEX_HCSRP_75_2.log,0.26,380,2.3045069516e+02
